report_id,page,ordinal,publication_date,title,company,ticker,exchange,symbol,pdf_filename,pdf_url,report_current_price,bear_target,base_target,bull_target,target_price,target_currency,markdown_filename
6c4fc8de3477290c,2,11,2025-10-23,"Equity Research, Coreweave",Coreweave,CRWV,NASDAQ,CRWV,2025-10-23_equity-research-coreweave.pdf,http://snusmic.com/wp-content/uploads/2025/10/25-2_1주차_수정보고서_3팀_CoreWeave_Inc.pdf,140.0,,241.0,,241.0,USD,2025-10-23_equity-research-coreweave.md
84be5b02e614c108,2,12,2025-10-23,"Equity Research, Corning",Corning,GLW,NYSE,GLW,2025-10-23_equity-research-corning-3.pdf,http://snusmic.com/wp-content/uploads/2025/10/25-2_1주차-수정보고서_2팀_Corning.pdf,86.24,,144.0,,144.0,USD,2025-10-23_equity-research-corning-3.md
db4185ed8b0fe53f,2,4,2025-11-11,"Equity Research, 두산",두산,000150,KRX,000150.KS,2025-11-11_equity-research-두산.pdf,http://snusmic.com/wp-content/uploads/2025/11/25_2_2주차_수정보고서_5팀_두산.pdf,949000.0,,1874000.0,,1874000.0,KRW,2025-11-11_equity-research-두산.md
6fef59cb4e872d14,2,5,2025-11-11,"Equity Research, 한국카본",한국카본,017960,KRX,017960.KS,2025-11-11_equity-research-한국카본-3.pdf,http://snusmic.com/wp-content/uploads/2025/11/25_2_2주차_수정보고서_4팀_한국카본.pdf,36600.0,,64000.0,,64000.0,KRW,2025-11-11_equity-research-한국카본-3.md
9d11d1c860eccb92,2,8,2025-11-11,"Equity Research, 풍산",풍산,103140,KRX,103140.KS,2025-11-11_equity-research-풍산-2.pdf,http://snusmic.com/wp-content/uploads/2025/11/25-2_2주차-수정보고서_1팀-풍산.pdf,110000.0,,120700.0,,120700.0,KRW,2025-11-11_equity-research-풍산-2.md
20f3ebccf07a4ac8,2,7,2025-11-11,"Equity Research, 지투지바이오",지투지바이오,456160,KRX,456160.KQ,2025-11-11_equity-research-지투지바이오.pdf,http://snusmic.com/wp-content/uploads/2025/11/25_2_2주차_수정보고서_2팀_지투지바이오.pdf,55696.0,,319800.0,1.0,319800.0,KRW,2025-11-11_equity-research-지투지바이오.md
f44b6986379020e2,2,6,2025-11-11,"Equity Research, 코오롱티슈진",코오롱티슈진,950160,KRX,950160.KS,2025-11-11_equity-research-코오롱티슈진.pdf,http://snusmic.com/wp-content/uploads/2025/11/25_2_2주차_수정보고서_3팀_코오롱티슈진.pdf,44800.0,,121000.0,28.0,121000.0,KRW,2025-11-11_equity-research-코오롱티슈진.md
07b7a9efb855d1c3,2,2,2025-12-01,"Equity Research, JAC recruitment Co. Ltd",JAC recruitment Co. Ltd,2124,TYO,2124.T,2025-12-01_equity-research-jac-recruitment-co-ltd.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_2팀_JAC_recruitment_Co._Ltd..pdf,,,1686.0,,1686.0,JPY,2025-12-01_equity-research-jac-recruitment-co-ltd.md
9c4bd99f971cbedd,2,3,2025-12-01,"Equity Research, Establishment Labs Holdings",Establishment Labs Holdings,ESTA,NASDAQ,ESTA,2025-12-01_equity-research-establishment-labs-holdings.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_1팀_Establishment_Labs_Holdings.pdf,66.05,,118.76,,118.76,USD,2025-12-01_equity-research-establishment-labs-holdings.md
4596d0ea178ca4cc,2,1,2025-12-01,"Equity Research, IMAX Corp",IMAX Corp,IMAX,NYSE,IMAX,2025-12-01_equity-research-imax-corp.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_3팀_IMAX_Corp.pdf,35.4,,54.59,,54.59,USD,2025-12-01_equity-research-imax-corp.md
